"s_x1","s_x2","s_x3","s_x4","s_x5","s_x6","s_x7","s_x8","s_x9","s_x10","s_x11","s_x12","s_x13","s_x14","s_x15","s_y","s_y2",
-0.039769,-0.039769,1.2284,2.2787,1.0615,,70.2863,1.1363,250.8461,249.7904,249.1798,248.8281,247.9354,247.1005,246.5989,,,
-0.21882,-0.2585,1.0068,2.0549,0.84034,,67.5522,0.9632,250.8307,249.974,249.3823,249.0159,248.0477,247.1738,246.6546,,,
-0.20734,-0.4257,-1.0242,1.5747,0.63126,,73.3265,0.72886,250.6471,250.0296,249.4945,249.1363,248.1352,247.2353,246.7026,,,
-0.11187,-0.31898,-0.57666,0.80645,0.92039,,71.2713,0.49739,250.4314,250.0242,249.5577,249.2185,248.2084,247.29,246.7463,,,
-0.032,-0.14384,-0.60847,0.65244,0.8881,,70.7051,0.30424,250.261,250.0053,249.603,249.2853,248.2755,247.3421,246.7883,,,
0.17206,0.14,-0.39785,0.82561,1.1025,,71.9048,0.20964,250.2906,250.068,249.6964,249.3867,248.3569,247.4017,246.8355,,,
0,0.17206,-0.17943,0.82561,1.1025,,70.0508,0.1264,250.3104,250.1192,249.7781,249.4785,248.435,247.4601,246.882,,,
0,0,0.027969,-0.99656,1.1025,,64.2424,0.054362,250.3236,250.1612,249.8496,249.5615,248.5101,247.5173,246.928,,,
-0.1398,-0.1398,0,-0.57666,0.84305,,60.241,-0.051677,250.2157,250.1319,249.8684,249.6032,248.5685,247.5664,246.9687,,,
0.168,0.027961,0.20006,-0.40962,1.1308,,62.156,-0.075071,250.2838,250.1843,249.9373,249.681,248.6411,247.623,247.0144,,,
0.26356,0.432,0.29159,-0.10742,1.3973,,64.8188,-0.014636,250.5492,250.3471,250.0802,249.8143,248.7368,247.6914,247.0682,,,
-0.031862,0.23161,0.25964,0.079745,1.3732,,30.8793,0.000758,250.6995,250.4658,250.1951,249.9272,248.8255,247.7569,247.1203,,,
0,-0.031862,0.25964,0.28768,1.3732,,43.5159,-0.0026774,250.7997,250.563,250.2958,250.0294,248.9108,247.8211,247.1717,,,
0,0,0.4,0.4,1.3732,,43.5159,-0.017728,250.8664,250.6424,250.3838,250.1218,248.9927,247.8841,247.2224,,,
-0.11952,-0.11952,0.11181,0.3121,1.252,,41.1444,-0.077521,250.811,250.6529,250.4233,250.1769,249.0597,247.9399,247.2684,,,
0.075788,-0.043825,-0.075673,0.2157,1.3288,,51.3595,-0.099504,250.8373,250.696,250.4816,250.2448,249.1315,247.9983,247.3164,,,
0,0.075788,-0.043825,0.2157,1.4763,,60.9319,-0.12066,250.8549,250.7313,250.5327,250.3062,249.2004,248.0555,247.3637,,,
0.043844,0.043844,0,0.25964,1.5783,,69.084,-0.12588,250.9032,250.7801,250.5911,250.3723,249.271,248.1138,247.4119,,,
0.059761,0.10363,0.059761,0.46,2.1974,,72.8625,-0.11543,250.9855,250.8474,250.661,250.4464,249.3447,248.174,247.4614,,,
0,0.059761,0.1795,0.29151,2.1974,,67.6991,-0.11461,251.0403,250.9024,250.7221,250.5134,249.4155,248.2329,247.5103,,,
0,0,0.10363,0.02788,2.1974,,67.6991,-0.11959,251.0769,250.9474,250.7756,250.574,249.4835,248.2907,247.5585,,,
0,0,0.10363,0.059761,2.1974,,67.6991,-0.12768,251.1013,250.9843,250.8224,250.6289,249.5489,248.3473,247.6061,,,
